name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at
Dream Bean Coffee,"Underground Ltd, Northern Approach, Blackwall Tunnel Northern Approach, London E3 3JJ, UK",,,4.7,39,,OPERATIONAL,,ChIJd3nlD4IddkgRUyd6Y-qPYzc,coffee shop,2025-09-19T05:15:57.882943
The Coffee Room - Mile End,"6A Grove Rd., Bow, London E3 5AX, UK",020 8980 9731,http://www.coffeeroom.co.uk/,4.6,919,,OPERATIONAL,,ChIJIeuerDoddkgRkE2_CmAl6ac,coffee shop,2025-09-19T05:15:58.389038
Mackbear Coffee Co. UK,"132 Mile End Rd, Stepney Green, London E1 4GL, UK",020 7265 8208,https://linktr.ee/MackBearCoffee_UK,4.3,414,,OPERATIONAL,,ChIJJxcaCPsddkgRMRfRvjA1W4M,coffee shop,2025-09-19T05:15:58.926548
Bex Coffee,"199A Whitechapel Rd, London E1 1DE, UK",,,4.8,108,,OPERATIONAL,,ChIJG8rlXQAddkgRxNF5RmJu_F0,coffee shop,2025-09-19T05:15:59.608188
Quarantacinque Bethnal Green,"45 Roman Rd, Bethnal Green, London E2 0HU, UK",020 8981 6765,http://www.quarantacinque.co.uk/,4.7,321,2,OPERATIONAL,,ChIJ-SaFntkcdkgRQqzMT04PXBw,coffee shop,2025-09-19T05:16:00.325444
