name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at
Kevin & Co. Sales & Letting Agents,"The Oxygen, 18 Western Gateway, London E16 1BL, UK",,https://kevinandco.uk/,4.9,231,,OPERATIONAL,,ChIJTUsu-Man2EcRNQ69BFQi0zs,Estate agent,2025-09-17T16:51:11.824788
Hunters Estate & Letting Agents Plaistow,"272 Barking Rd, London E13 8HR, UK",020 7474 2345,https://www.hunters.com/office/plaistow?utm_source=google&utm_medium=local,4.6,190,,OPERATIONAL,,ChIJfyPNUuGn2EcRjyl-qGgxZYg,Estate agent,2025-09-17T16:51:12.022952
Alexander Rose Estates,"Stratford Workshops, 15 Burford Rd, London E15 2SP, UK",020 3051 9877,https://alexanderroseestates.co.uk/,5.0,115,,OPERATIONAL,,ChIJKVJDsVADdkgRGRdZEVsrktw,Estate agent,2025-09-17T16:51:12.246658
T J Miller,"148 Plashet Rd, London E13 0QS, UK",020 8514 7788,https://uklocation.org/business/t-j-miller-af90v0,4.8,64,,OPERATIONAL,,ChIJx_eB9Lin2EcRJKlUfqzEkB0,Estate agent,2025-09-17T16:51:12.468509
Real Estate Agents London,"75A Barking Rd, London E16 4HB, UK",020 7055 0441,https://realestateagentslondon.co.uk/,4.8,396,,OPERATIONAL,,ChIJjfZBDP2n2EcRoMW6UbBfGj0,Estate agent,2025-09-17T16:51:12.690558
Stonebridge Estate Agents,"248 High St N, London E12 6SB, UK",020 8590 1499,http://www.stonebridgelondon.co.uk/,4.9,115,,OPERATIONAL,,ChIJ9aG4mkum2EcRGnLiTKipJvI,Estate agent,2025-09-17T16:51:12.871435
Harvey W James,"F1, 415 High St, London E15 4QZ, UK",020 3865 1500,https://www.harveywjames.com/,5.0,211,,OPERATIONAL,,ChIJE3YRc4qn2EcROhAhS9q0jMA,Estate agent,2025-09-17T16:51:13.085420
Easymove Estate and Letting Agents | East London,"161 High St N, London E6 1JB, UK",020 8470 0007,http://www.easymoveea.com/,4.6,308,,OPERATIONAL,,ChIJwUPrSEqm2EcRbZv5UCaL6sA,Estate agent,2025-09-17T16:51:13.327156
Knights & Co estate agent,"776-778 Barking Rd, London E13 9PJ, UK",020 8004 6224,https://www.knightsandcoestateagent.co.uk/,4.3,25,,OPERATIONAL,,ChIJF427Os-n2EcR0byOMH47hkU,Estate agent,2025-09-17T16:51:13.513199
ARQ Homes,"355-357, Barking Rd, London E6 1LA, UK",020 8472 0011,http://www.arqhomes.co.uk/,4.9,233,,OPERATIONAL,,ChIJD6c4L76n2EcRXQpC9qGT_Gg,Estate agent,2025-09-17T16:51:13.719793
KK Rich Estates Ltd,"38a Ferndale Rd, London E7 8JX, UK",020 3994 1667,http://www.kkrich.com/,4.9,74,,OPERATIONAL,,ChIJc5gNhTYHdkgRVYqf3-IulrA,Estate agent,2025-09-17T16:51:13.914045
Manor Estate Agent,"420 High St N, London E12 6RH, UK",020 3500 9988,https://manorestateagent.co.uk/,4.9,95,,OPERATIONAL,,ChIJt2i7Piqn2EcRNvWISoLLS3Y,Estate agent,2025-09-17T16:51:14.125809
Hawks | Estate Agents | East London,"71-73 W Ham Ln, London E15 4PH, UK",020 3002 6769,https://hawksestateagents.com/,4.5,106,,OPERATIONAL,,ChIJKYW0noun2EcR-tXBbLP5dmQ,Estate agent,2025-09-17T16:51:14.431272
Reeds Rains Estate Agents Plaistow,"286 Barking Rd, London E13 8HR, UK",020 7474 9157,https://www.reedsrains.co.uk/estate-agent/plaistow?utm_source=google_my_business&utm_medium=organic&utm_campaign=RPLAI1,4.5,190,,OPERATIONAL,,ChIJLbUSTeGn2EcRK6GxMPi8mrw,Estate agent,2025-09-17T16:51:14.609769
Bismilla Property Ltd,"747 Barking Rd, London E13 9ER, UK",020 8586 6779,https://bismillaproperty.com/,4.5,18,,OPERATIONAL,,ChIJCatAOM-n2EcR_e2I2mTN_2Q,Estate agent,2025-09-17T16:51:14.835324
Thinq Homes,"130 Plashet Rd, London E13 0QS, UK",020 8548 4007,http://www.thinqhomes.com/,4.9,48,,OPERATIONAL,,ChIJNa2v7Lin2EcRha2cKYlJjpE,Estate agent,2025-09-17T16:51:15.021791
