name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at
Samuel King Estate Agents,"Londis Supermarket, 143 Barking Rd, London E16 4HQ, UK",020 7474 6000,http://www.samuelking.co.uk/,3.9,52,,OPERATIONAL,,ChIJPU43Lv2n2EcR4fmerqtp7A4,Estate agent,2025-09-17T16:51:15.202177
Michael Steven,"766 Barking Rd, London E13 9PJ, UK",020 8472 6666,http://www.michaelsteven.co.uk/,4.1,39,,OPERATIONAL,,ChIJG1xdOM-n2EcRxDYfm3sHAZE,Estate agent,2025-09-17T16:51:15.390088
"Partap Property Estate Agents, Sales, Lettings & Property Management","202b Green St, London E7 8LE, UK",020 8470 2928,http://partapproperties.com/,4.4,31,,OPERATIONAL,,ChIJmUWbnbmn2EcRvTykcXHp1FY,Estate agent,2025-09-17T16:51:15.564289
haart Estate and Lettings Agents East Ham,"219 High St N, London E6 1JG, UK",020 4512 8365,https://www.haart.co.uk/branch-finder/east-ham-estate-agents/?utm_source=organic_gmb&utm_medium=organic&referrer=organic_gmb&y_source=1_MzQ0NjU5ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,685,,OPERATIONAL,,ChIJdfLUu0um2EcRF9jUB8eDMi4,Estate agent,2025-09-17T16:51:15.819889
BK Property Management Services - Guaranteed Rent,"136 Katherine Rd, London E6 1ER, UK",020 8470 1420,https://www.bkpropertymanagementservices.com/,5.0,24,,OPERATIONAL,,ChIJvdjKLQCn2EcRqrfM2cQeXtc,property management,2025-09-17T16:51:16.653477
J Property Management,"7 Bell Yard, London WC2A 2JR, UK",020 3105 5898,http://www.jpropertymanagement.co.uk/,4.8,33,,OPERATIONAL,,ChIJWTF3B9gBdkgRMNQ1jXftdG8,property management,2025-09-17T16:51:16.865996
Key2Key Property Management,"120 Upton Ln, London E7 9LW, UK",020 8552 4777,http://www.key2keyproperties.com/,4.8,155,,OPERATIONAL,,ChIJTTTdtL2n2EcREeXyaw0MU4E,property management,2025-09-17T16:51:17.060748
Chasteau Property Management,"1st Floor, 415 High St, London E15 4QZ, UK",07833 444254,http://chasteaupropertymanagement.co.uk/,4.2,20,,OPERATIONAL,,ChIJ__8Lc4qn2EcR1g2HIRIhjdE,property management,2025-09-17T16:51:17.267730
Imperial Dragon Property Management,"30 Churchill Pl, London E14 5RE, UK",020 7096 0964,http://www.imperialdragonproperty.com/,4.4,39,,OPERATIONAL,,ChIJDYHOJcwEdkgRiVHRULwdLFM,property management,2025-09-17T16:51:17.460588
Prime Property Management,"Devonshire House, 29/31 Elmfield Rd, Bromley BR1 1LT, UK",020 3983 3443,https://primepm.co.uk/,4.6,551,,OPERATIONAL,,ChIJ9fQm0Fmq2EcRa8l8_nUUbEI,property management,2025-09-17T16:51:17.652850
Alexander Property Management Ltd,"70 Wood St, London E17 3HT, UK",020 8501 1489,http://www.alexanderproperty.co.uk/,4.8,19,,OPERATIONAL,,ChIJD2ukkPkddkgRarYbeILR6jI,property management,2025-09-17T16:51:17.923101
1st Property Management,"86-90 Paul St, London EC2A 4NE, UK",020 3984 9146,https://www.1stpropertymanagement.co.uk/,4.4,37,,OPERATIONAL,,ChIJzeQZG7McdkgRoWuuD9gbzGg,property management,2025-09-17T16:51:18.105937
Lionsgate Property Management,"14-16 Dowgate Hill, London EC4R 2SU, UK",020 3053 6704,http://lionsgate-property.com/,4.3,162,,OPERATIONAL,,ChIJKVJDsVADdkgR78Jlr3FmkoI,property management,2025-09-17T16:51:18.287755
Martin Smith Residential Letting & Management,"42 Romford Rd, London E15 4BZ, UK",020 8519 6677,http://www.martinsmithletting.co.uk/,4.3,35,,OPERATIONAL,,ChIJM_umsY6n2EcR0phSRbeHHx8,property management,2025-09-17T16:51:18.514010
JSE Property Management,"124 City Rd, London EC1V 2NX, UK",020 7101 4582,https://jsepropertymanagement.co.uk/,4.7,39,,OPERATIONAL,,ChIJ_cREgDgddkgRJJ9kMcSLb2I,property management,2025-09-17T16:51:18.692098
"Partap Property Estate Agents, Sales, Lettings & Property Management","202b Green St, London E7 8LE, UK",020 8470 2928,http://partapproperties.com/,4.4,31,,OPERATIONAL,,ChIJmUWbnbmn2EcRvTykcXHp1FY,property management,2025-09-17T16:51:18.972278
MIH Property Management Ltd,"3rd Floor, Collegiate House, 9 St Thomas St, London SE1 9RY, UK",020 3637 7968,https://www.mihproperty.co.uk/,4.5,82,,OPERATIONAL,,ChIJw9vVU00FdkgR-0Bhh5o5raQ,property management,2025-09-17T16:51:19.169375
Abby Homes - Letting & Property Management Since 2012,"3 Pepper St, London E14 9RB, UK",020 7538 4411,http://www.abbyhomes.co.uk/,4.4,62,,OPERATIONAL,,ChIJbXa4ytsDdkgRZuflw4235rg,property management,2025-09-17T16:51:19.349826
SC Property Management Services,"Jhumat House, 160 London Rd, Barking IG11 8BB, UK",020 8214 1110,https://scpropertymanagementservices.com/,4.9,10,,OPERATIONAL,,ChIJ3UcHBl-n2EcRN4yfu1tagCc,property management,2025-09-17T16:51:19.559520
"Albany Property Management, Letting & Estate Agents in Plaistow","14 High St, London E13 0AJ, UK",020 8471 9393,https://www.albanyresidential.com/contact.aspx?menuID=11?utm_source=localmaps&utm_medium=gbp&utm_campaign=plaistow,3.7,39,,OPERATIONAL,,ChIJ14zlkumn2EcReCBW2bnhxto,property management,2025-09-17T16:51:19.750679
Reka Property Management Ltd,"2nd Floor, WEB BASED COMPANY, Clerkenwell Rd, London EC1M 5PA, UK",020 3286 6468,http://rekaproperty.co.uk/,4.8,62,,OPERATIONAL,,ChIJXbI6FkUbdkgR8lgLL9uNo-w,property management,2025-09-17T16:51:20.019371
Goldman Greg Estate Agency & Housing Management Services,"143 Leman St, London E1 8EY, UK",020 7977 0018,http://www.goldmangreg.co.uk/,4.9,156,,OPERATIONAL,,ChIJQf4uGHMDdkgRNiqYLkKScEE,property management,2025-09-17T16:51:20.208178
All Seasons Lettings & Management - London's Multi award winning Guaranteed Rent Specialist,"538 High St N, London E12 6QN, UK",020 8478 9992,http://www.allseasonslettings.co.uk/,4.4,300,,OPERATIONAL,,ChIJo4l82cwcdkgRau0uIGJo9VA,property management,2025-09-17T16:51:20.398355
Prime Property Care,"483 Green Ln, London N13 4BS, UK",,https://www.primepropertycare.com/,4.7,75,,OPERATIONAL,,ChIJSSk-tPobdkgRr4VMF8eq3yQ,property management,2025-09-17T16:51:20.668606
