name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at
Hunters Estate & Letting Agents Plaistow,"272 Barking Rd, London E13 8HR, UK",020 7474 2345,https://www.hunters.com/office/plaistow?utm_source=google&utm_medium=local,4.6,190,,OPERATIONAL,,ChIJfyPNUuGn2EcRjyl-qGgxZYg,estate agents,2025-09-17T16:59:51.327047
T J Miller,"148 Plashet Rd, London E13 0QS, UK",020 8514 7788,https://uklocation.org/business/t-j-miller-af90v0,4.8,64,,OPERATIONAL,,ChIJx_eB9Lin2EcRJKlUfqzEkB0,estate agents,2025-09-17T16:59:51.528397
Real Estate Agents London,"75A Barking Rd, London E16 4HB, UK",020 7055 0441,https://realestateagentslondon.co.uk/,4.8,396,,OPERATIONAL,,ChIJjfZBDP2n2EcRoMW6UbBfGj0,estate agents,2025-09-17T16:59:51.822188
Kevin & Co. Sales & Letting Agents,"The Oxygen, 18 Western Gateway, London E16 1BL, UK",,https://kevinandco.uk/,0.0,0,,OPERATIONAL,,ChIJTUsu-Man2EcRNQ69BFQi0zs,estate agents,2025-09-17T16:59:52.460468
Stonebridge Estate Agents,"248 High St N, London E12 6SB, UK",020 8590 1499,http://www.stonebridgelondon.co.uk/,4.9,115,,OPERATIONAL,,ChIJ9aG4mkum2EcRGnLiTKipJvI,estate agents,2025-09-17T16:59:52.645188
Easymove Estate and Letting Agents | East London,"161 High St N, London E6 1JB, UK",020 8470 0007,http://www.easymoveea.com/,4.6,308,,OPERATIONAL,,ChIJwUPrSEqm2EcRbZv5UCaL6sA,estate agents,2025-09-17T16:59:52.858756
Knights & Co estate agent,"776-778 Barking Rd, London E13 9PJ, UK",020 8004 6224,https://www.knightsandcoestateagent.co.uk/,4.3,25,,OPERATIONAL,,ChIJF427Os-n2EcR0byOMH47hkU,estate agents,2025-09-17T16:59:53.049570
Reeds Rains Estate Agents Plaistow,"286 Barking Rd, London E13 8HR, UK",020 7474 9157,https://www.reedsrains.co.uk/estate-agent/plaistow?utm_source=google_my_business&utm_medium=organic&utm_campaign=RPLAI1,4.5,190,,OPERATIONAL,,ChIJLbUSTeGn2EcRK6GxMPi8mrw,estate agents,2025-09-17T16:59:53.306599
haart Estate and Lettings Agents East Ham,"219 High St N, London E6 1JG, UK",020 4512 8365,https://www.haart.co.uk/branch-finder/east-ham-estate-agents/?utm_source=organic_gmb&utm_medium=organic&referrer=organic_gmb&y_source=1_MzQ0NjU5ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,685,,OPERATIONAL,,ChIJdfLUu0um2EcRF9jUB8eDMi4,estate agents,2025-09-17T16:59:53.492252
Harvey W James,"F1, 415 High St, London E15 4QZ, UK",020 3865 1500,https://www.harveywjames.com/,5.0,211,,OPERATIONAL,,ChIJE3YRc4qn2EcROhAhS9q0jMA,estate agents,2025-09-17T16:59:53.724981
Hawks | Estate Agents | East London,"71-73 W Ham Ln, London E15 4PH, UK",020 3002 6769,https://hawksestateagents.com/,4.5,106,,OPERATIONAL,,ChIJKYW0noun2EcR-tXBbLP5dmQ,estate agents,2025-09-17T16:59:53.920972
ARQ Homes,"355-357, Barking Rd, London E6 1LA, UK",020 8472 0011,http://www.arqhomes.co.uk/,4.9,233,,OPERATIONAL,,ChIJD6c4L76n2EcRXQpC9qGT_Gg,estate agents,2025-09-17T16:59:54.126493
Alexander Rose Estates,"Stratford Workshops, 15 Burford Rd, London E15 2SP, UK",020 3051 9877,https://alexanderroseestates.co.uk/,5.0,115,,OPERATIONAL,,ChIJKVJDsVADdkgRGRdZEVsrktw,estate agents,2025-09-17T16:59:54.355201
Samuel King Estate Agents,"Londis Supermarket, 143 Barking Rd, London E16 4HQ, UK",020 7474 6000,http://www.samuelking.co.uk/,3.9,52,,OPERATIONAL,,ChIJPU43Lv2n2EcR4fmerqtp7A4,estate agents,2025-09-17T16:59:54.533693
Michael Steven,"766 Barking Rd, London E13 9PJ, UK",020 8472 6666,http://www.michaelsteven.co.uk/,4.1,39,,OPERATIONAL,,ChIJG1xdOM-n2EcRxDYfm3sHAZE,estate agents,2025-09-17T16:59:54.726098
Elliott Davis Properties,"500 Green St, London E13 9DB, UK",020 8552 0711,https://ukmaplocation.org/business/elliott-davis-properties-adrgfx,2.5,26,,OPERATIONAL,,ChIJBQsijMin2EcR5rQ_dN_2B8A,estate agents,2025-09-17T16:59:54.948741
Kingdom Property Agents Ltd,"91Katherine Road, London E6 1EW, UK",020 8821 0287,https://ukmapslocation.org/business/kingdom-property-agents-ltd-ol72tp,5.0,54,,OPERATIONAL,,ChIJicLUyMqn2EcRHRZfTn5uabI,estate agents,2025-09-17T16:59:55.123678
Bismilla Property Ltd,"747 Barking Rd, London E13 9ER, UK",020 8586 6779,https://bismillaproperty.com/,4.5,18,,OPERATIONAL,,ChIJCatAOM-n2EcR_e2I2mTN_2Q,estate agents,2025-09-17T16:59:55.403801
JLL Stratford Real Estate,"5 Station St, London E15 1LA, UK",020 3147 1500,https://residential.jll.co.uk/offices/estate-agent-stratford,4.7,451,,OPERATIONAL,,ChIJSQkxlWEddkgRsJQ2R3lwA2g,estate agents,2025-09-17T16:59:55.598741
David Daniels,"49C Leytonstone Rd, London E15 1JA, UK",020 8555 3521,http://www.daviddaniels.co.uk/,4.2,297,,OPERATIONAL,,ChIJQcFIVY-n2EcR1Yy9loVJ3ok,estate agents,2025-09-17T16:59:55.795050
BK Property Management Services - Guaranteed Rent,"136 Katherine Rd, London E6 1ER, UK",020 8470 1420,https://www.bkpropertymanagementservices.com/,5.0,24,,OPERATIONAL,,ChIJvdjKLQCn2EcRqrfM2cQeXtc,property management,2025-09-17T16:59:56.543184
J Property Management,"7 Bell Yard, London WC2A 2JR, UK",020 3105 5898,http://www.jpropertymanagement.co.uk/,4.8,33,,OPERATIONAL,,ChIJWTF3B9gBdkgRMNQ1jXftdG8,property management,2025-09-17T16:59:56.737973
Key2Key Property Management,"120 Upton Ln, London E7 9LW, UK",020 8552 4777,http://www.key2keyproperties.com/,4.8,155,,OPERATIONAL,,ChIJTTTdtL2n2EcREeXyaw0MU4E,property management,2025-09-17T16:59:56.975357
Chasteau Property Management,"1st Floor, 415 High St, London E15 4QZ, UK",07833 444254,http://chasteaupropertymanagement.co.uk/,4.2,20,,OPERATIONAL,,ChIJ__8Lc4qn2EcR1g2HIRIhjdE,property management,2025-09-17T16:59:57.149617
Imperial Dragon Property Management,"30 Churchill Pl, London E14 5RE, UK",020 7096 0964,http://www.imperialdragonproperty.com/,4.4,39,,OPERATIONAL,,ChIJDYHOJcwEdkgRiVHRULwdLFM,property management,2025-09-17T16:59:57.340048
Prime Property Management,"Devonshire House, 29/31 Elmfield Rd, Bromley BR1 1LT, UK",020 3983 3443,https://primepm.co.uk/,4.6,551,,OPERATIONAL,,ChIJ9fQm0Fmq2EcRa8l8_nUUbEI,property management,2025-09-17T16:59:57.564529
Alexander Property Management Ltd,"70 Wood St, London E17 3HT, UK",020 8501 1489,http://www.alexanderproperty.co.uk/,4.8,19,,OPERATIONAL,,ChIJD2ukkPkddkgRarYbeILR6jI,property management,2025-09-17T16:59:57.801771
1st Property Management,"86-90 Paul St, London EC2A 4NE, UK",020 3984 9146,https://www.1stpropertymanagement.co.uk/,4.4,37,,OPERATIONAL,,ChIJzeQZG7McdkgRoWuuD9gbzGg,property management,2025-09-17T16:59:58.024336
Lionsgate Property Management,"14-16 Dowgate Hill, London EC4R 2SU, UK",020 3053 6704,http://lionsgate-property.com/,4.3,162,,OPERATIONAL,,ChIJKVJDsVADdkgR78Jlr3FmkoI,property management,2025-09-17T16:59:58.221732
Martin Smith Residential Letting & Management,"42 Romford Rd, London E15 4BZ, UK",020 8519 6677,http://www.martinsmithletting.co.uk/,4.3,35,,OPERATIONAL,,ChIJM_umsY6n2EcR0phSRbeHHx8,property management,2025-09-17T16:59:58.396884
JSE Property Management,"124 City Rd, London EC1V 2NX, UK",020 7101 4582,https://jsepropertymanagement.co.uk/,4.7,39,,OPERATIONAL,,ChIJ_cREgDgddkgRJJ9kMcSLb2I,property management,2025-09-17T16:59:58.677606
"Partap Property Estate Agents, Sales, Lettings & Property Management","202b Green St, London E7 8LE, UK",020 8470 2928,http://partapproperties.com/,4.4,31,,OPERATIONAL,,ChIJmUWbnbmn2EcRvTykcXHp1FY,property management,2025-09-17T16:59:58.863327
MIH Property Management Ltd,"3rd Floor, Collegiate House, 9 St Thomas St, London SE1 9RY, UK",020 3637 7968,https://www.mihproperty.co.uk/,4.5,82,,OPERATIONAL,,ChIJw9vVU00FdkgR-0Bhh5o5raQ,property management,2025-09-17T16:59:59.067861
Abby Homes - Letting & Property Management Since 2012,"3 Pepper St, London E14 9RB, UK",020 7538 4411,http://www.abbyhomes.co.uk/,4.4,62,,OPERATIONAL,,ChIJbXa4ytsDdkgRZuflw4235rg,property management,2025-09-17T16:59:59.252903
SC Property Management Services,"Jhumat House, 160 London Rd, Barking IG11 8BB, UK",020 8214 1110,https://scpropertymanagementservices.com/,4.9,10,,OPERATIONAL,,ChIJ3UcHBl-n2EcRN4yfu1tagCc,property management,2025-09-17T16:59:59.425424
"Albany Property Management, Letting & Estate Agents in Plaistow","14 High St, London E13 0AJ, UK",020 8471 9393,https://www.albanyresidential.com/contact.aspx?menuID=11?utm_source=localmaps&utm_medium=gbp&utm_campaign=plaistow,3.7,39,,OPERATIONAL,,ChIJ14zlkumn2EcReCBW2bnhxto,property management,2025-09-17T16:59:59.659164
Reka Property Management Ltd,"2nd Floor, WEB BASED COMPANY, Clerkenwell Rd, London EC1M 5PA, UK",020 3286 6468,http://rekaproperty.co.uk/,4.8,62,,OPERATIONAL,,ChIJXbI6FkUbdkgR8lgLL9uNo-w,property management,2025-09-17T16:59:59.841646
Goldman Greg Estate Agency & Housing Management Services,"143 Leman St, London E1 8EY, UK",020 7977 0018,http://www.goldmangreg.co.uk/,4.9,156,,OPERATIONAL,,ChIJQf4uGHMDdkgRNiqYLkKScEE,property management,2025-09-17T17:00:00.023568
All Seasons Lettings & Management - London's Multi award winning Guaranteed Rent Specialist,"538 High St N, London E12 6QN, UK",020 8478 9992,http://www.allseasonslettings.co.uk/,4.4,300,,OPERATIONAL,,ChIJo4l82cwcdkgRau0uIGJo9VA,property management,2025-09-17T17:00:00.210739
Prime Property Care,"483 Green Ln, London N13 4BS, UK",,https://www.primepropertycare.com/,4.7,75,,OPERATIONAL,,ChIJSSk-tPobdkgRr4VMF8eq3yQ,property management,2025-09-17T17:00:00.385271
Kevin & Co. Sales & Letting Agents,"The Oxygen, 18 Western Gateway, London E16 1BL, UK",,https://kevinandco.uk/,4.9,231,,OPERATIONAL,,ChIJTUsu-Man2EcRNQ69BFQi0zs,letting agents,2025-09-17T17:00:01.442502
Hunters Estate & Letting Agents Plaistow,"272 Barking Rd, London E13 8HR, UK",020 7474 2345,https://www.hunters.com/office/plaistow?utm_source=google&utm_medium=local,4.6,190,,OPERATIONAL,,ChIJfyPNUuGn2EcRjyl-qGgxZYg,letting agents,2025-09-17T17:00:01.598271
Easymove Estate and Letting Agents | East London,"161 High St N, London E6 1JB, UK",020 8470 0007,http://www.easymoveea.com/,4.6,308,,OPERATIONAL,,ChIJwUPrSEqm2EcRbZv5UCaL6sA,letting agents,2025-09-17T17:00:01.754532
T J Miller,"148 Plashet Rd, London E13 0QS, UK",020 8514 7788,https://uklocation.org/business/t-j-miller-af90v0,4.8,64,,OPERATIONAL,,ChIJx_eB9Lin2EcRJKlUfqzEkB0,letting agents,2025-09-17T17:00:01.912645
haart Estate and Lettings Agents East Ham,"219 High St N, London E6 1JG, UK",020 4512 8365,https://www.haart.co.uk/branch-finder/east-ham-estate-agents/?utm_source=organic_gmb&utm_medium=organic&referrer=organic_gmb&y_source=1_MzQ0NjU5ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,685,,OPERATIONAL,,ChIJdfLUu0um2EcRF9jUB8eDMi4,letting agents,2025-09-17T17:00:02.073750
Harvey W James,"F1, 415 High St, London E15 4QZ, UK",020 3865 1500,https://www.harveywjames.com/,5.0,211,,OPERATIONAL,,ChIJE3YRc4qn2EcROhAhS9q0jMA,letting agents,2025-09-17T17:00:02.264356
Samuel King Estate Agents,"Londis Supermarket, 143 Barking Rd, London E16 4HQ, UK",020 7474 6000,http://www.samuelking.co.uk/,3.9,52,,OPERATIONAL,,ChIJPU43Lv2n2EcR4fmerqtp7A4,letting agents,2025-09-17T17:00:02.425116
Knights & Co estate agent,"776-778 Barking Rd, London E13 9PJ, UK",020 8004 6224,https://www.knightsandcoestateagent.co.uk/,4.3,25,,OPERATIONAL,,ChIJF427Os-n2EcR0byOMH47hkU,letting agents,2025-09-17T17:00:02.584926
Reeds Rains Estate Agents Plaistow,"286 Barking Rd, London E13 8HR, UK",020 7474 9157,https://www.reedsrains.co.uk/estate-agent/plaistow?utm_source=google_my_business&utm_medium=organic&utm_campaign=RPLAI1,4.5,190,,OPERATIONAL,,ChIJLbUSTeGn2EcRK6GxMPi8mrw,letting agents,2025-09-17T17:00:02.785925
haart Estate and Lettings Agents Stratford,"4A Leytonstone Rd, London E15 1SE, UK",020 4512 8373,https://www.haart.co.uk/branch-finder/stratford-estate-agents/?utm_source=organic_gmb&utm_medium=organic&referrer=organic_gmb&y_source=1_MzQ0NjYxNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.8,827,,OPERATIONAL,,ChIJwfIV-oWn2EcRQlIESKHpE6I,letting agents,2025-09-17T17:00:03.000191
Real Estate Agents London,"75A Barking Rd, London E16 4HB, UK",020 7055 0441,https://realestateagentslondon.co.uk/,4.8,396,,OPERATIONAL,,ChIJjfZBDP2n2EcRoMW6UbBfGj0,letting agents,2025-09-17T17:00:03.153568
Kingdom Property Agents Ltd,"91Katherine Road, London E6 1EW, UK",020 8821 0287,https://ukmapslocation.org/business/kingdom-property-agents-ltd-ol72tp,5.0,54,,OPERATIONAL,,ChIJicLUyMqn2EcRHRZfTn5uabI,letting agents,2025-09-17T17:00:03.305764
Bairstow Eves Sales and Letting Agents Stratford,"142 The Grove, London E15 1NS, UK",020 3151 3977,http://www.bairstoweves.co.uk/forsaleoffice/stratford/294/?referrer=GooglePlaces&utm_source=gmb&y_source=1_MzI1NzMxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.2,382,,OPERATIONAL,,ChIJ9bRLH4mn2EcRR949Rw6bnYk,letting agents,2025-09-17T17:00:03.647858
SAVVY ANCHOR || Estate & Letting Agency,"764 Barking Rd, London E13 9PJ, UK",020 8087 4098,https://www.savvyanchor.co.uk/,0.0,0,,OPERATIONAL,,ChIJ2XJ7dBSn2EcRITdfFZogJ6Q,letting agents,2025-09-17T17:00:04.317093
ARQ Homes,"355-357, Barking Rd, London E6 1LA, UK",020 8472 0011,http://www.arqhomes.co.uk/,4.9,233,,OPERATIONAL,,ChIJD6c4L76n2EcRXQpC9qGT_Gg,letting agents,2025-09-17T17:00:04.513221
Bismilla Property Ltd,"747 Barking Rd, London E13 9ER, UK",020 8586 6779,https://bismillaproperty.com/,4.5,18,,OPERATIONAL,,ChIJCatAOM-n2EcR_e2I2mTN_2Q,letting agents,2025-09-17T17:00:04.666620
Elliott Davis Properties,"500 Green St, London E13 9DB, UK",020 8552 0711,https://ukmaplocation.org/business/elliott-davis-properties-adrgfx,2.5,26,,OPERATIONAL,,ChIJBQsijMin2EcR5rQ_dN_2B8A,letting agents,2025-09-17T17:00:04.875400
Hawks | Estate Agents | East London,"71-73 W Ham Ln, London E15 4PH, UK",020 3002 6769,https://hawksestateagents.com/,4.5,106,,OPERATIONAL,,ChIJKYW0noun2EcR-tXBbLP5dmQ,letting agents,2025-09-17T17:00:05.032861
Shan Properties (UK) Ltd,"61 Plashet Grove, London E6 1AD, UK",020 8472 9993,https://shanproperties.co.uk/,4.7,332,,OPERATIONAL,,ChIJy418xren2EcRRyWx6ahlYDI,letting agents,2025-09-17T17:00:05.211946
Stonebridge Estate Agents,"248 High St N, London E12 6SB, UK",020 8590 1499,http://www.stonebridgelondon.co.uk/,4.9,115,,OPERATIONAL,,ChIJ9aG4mkum2EcRGnLiTKipJvI,letting agents,2025-09-17T17:00:05.401318
Legacy Property Consultants,"10-11, Barkat House, 116-118 Finchley Rd, South Hampstead, London NW3 5HT, UK",020 7433 2523,http://www.legacypcl.co.uk/,5.0,220,,OPERATIONAL,,ChIJAyR5LIUadkgRaTgBjcxA87M,property consultants,2025-09-17T17:00:06.049085
Key Property Consultants,"129 High St, London SE20 7DS, UK",020 3793 2033,http://www.keypropertyconsultants.co.uk/,4.8,422,,OPERATIONAL,,ChIJX22wVXEBdkgR6Di4dlUacu8,property consultants,2025-09-17T17:00:06.240401
Alico Property Consultants,"151 Plashet Rd, London E13 0RA, UK",020 8552 3325,http://www.alicoproperty.com/,4.0,2,,OPERATIONAL,,ChIJEWOCy7in2EcR-_sh2c8lg4k,property consultants,2025-09-17T17:00:06.483727
BK Property Management Services - Guaranteed Rent,"136 Katherine Rd, London E6 1ER, UK",020 8470 1420,https://www.bkpropertymanagementservices.com/,5.0,24,,OPERATIONAL,,ChIJvdjKLQCn2EcRqrfM2cQeXtc,property consultants,2025-09-17T17:00:06.641710
Hawk & Eagle Property Consultants,"1 Claybury Broadway, Ilford IG5 0LQ, UK",020 7709 8410,http://www.hawkandeagle.co.uk/,4.1,201,,OPERATIONAL,,ChIJL4Tx5ioDdkgRqkezQs8-Y1g,property consultants,2025-09-17T17:00:06.824286
Rivera Property Consultants,"Piccadilly Chambers, Dudley House, 169 Piccadilly, London W1J 9EH, UK",020 7998 3504,http://riverapropertyconsultants.com/,5.0,16,,OPERATIONAL,,ChIJT0PU9CoFdkgRoE6kBQyXEgg,property consultants,2025-09-17T17:00:07.016794
PROPERTY CONSULTANTS GROUP,"71-75 Shelton St, London WC2H 9JQ, UK",0330 390 3533,http://propertyconsultantsgroup.co.uk/,5.0,1,,OPERATIONAL,,ChIJCZckwcwEdkgRPIw91t9iGKM,property consultants,2025-09-17T17:00:07.214022
Alex Goldstein Property Consultants,"4 Old Park Ln, London W1K 1QW, UK",020 3714 5910,https://www.alexgoldstein.co.uk/,5.0,9,,OPERATIONAL,,ChIJPWBQrc4adkgRJ4f4FZN93QM,property consultants,2025-09-17T17:00:07.462969
Key Property Consultants,"56 Bellegrove Rd, Welling DA16 3PY, UK",020 3793 2033,http://www.keypropertyconsultants.co.uk/,5.0,75,,OPERATIONAL,,ChIJ77iIlVWv2EcRG5u9EmDcf2E,property consultants,2025-09-17T17:00:07.649397
City Property Consultants,"134 Hoxton St, London N1 6SH, UK",020 7739 3308,,4.1,19,,OPERATIONAL,,ChIJK6T5jbwcdkgRCgJUZ89hENI,property consultants,2025-09-17T17:00:07.834003
Samson Consultants,"269-271 High St, London E15 2TF, UK",020 8221 1522,https://samsonconsultants.com/,4.6,29,,OPERATIONAL,,ChIJnzqJnGAddkgRxJvDvems810,property consultants,2025-09-17T17:00:08.054090
