name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at
Kings Property Consultancy Ltd,"1 Empire Mews, London SW16 2BF, UK",07985 708511,,5.0,29,,OPERATIONAL,,ChIJccvj3a4BdkgRJeVvUDaa6K4,property consultants,2025-09-17T17:00:08.238711
Anatomy Property Consultants,"4 Plough Yard, London EC2A 3LP, UK",020 8152 4134,http://www.anatomylondon.co.uk/,5.0,11,,OPERATIONAL,,ChIJedSpdp7DTgsRM-G8iSDdvRk,property consultants,2025-09-17T17:00:08.504721
Jamie Property Consultants,"45-55 Commercial St, London E1 6BD, UK",020 3978 4581,https://www.jamieproperty.com/,5.0,2,,OPERATIONAL,,ChIJrSmDyuoddkgRiG56InhgRYs,property consultants,2025-09-17T17:00:08.700329
Lopes Property Consultants,"Suite 02, Unit 14, Bourne Court, Southend Rd, Woodford, Woodford Green IG8 8HD, UK",07946 330837,https://lopesland.co.uk/,5.0,5,,OPERATIONAL,,ChIJ2XEREICc8okR70U_I4p2ghg,property consultants,2025-09-17T17:00:09.042765
Treasure Tower Property Consultants,"Harford House, London W11 1AZ, UK",01782 900207,http://www.treasuretower.co.uk/,5.0,47,,OPERATIONAL,,ChIJ158YzU0bdkgRmroBd2On-68,property consultants,2025-09-17T17:00:09.251496
O'Sullivan Property Consultants,"96 Seymour Pl, London W1H 1NB, UK",020 7099 0800,http://www.osullivanproperty.co.uk/,4.8,56,,OPERATIONAL,,ChIJ0xlJBysFdkgRu3SRyVqCBrI,property consultants,2025-09-17T17:00:09.451233
Occupa Commercial Property Consultants Mayfair,"1-6 Yarmouth Pl, London W1J 7BU, UK",020 7100 7500,http://www.occupa.co.uk/,5.0,55,,OPERATIONAL,,ChIJFepCtCgFdkgRaMuWbC7AIBM,property consultants,2025-09-17T17:00:09.632788
Shan Properties (UK) Ltd,"61 Plashet Grove, London E6 1AD, UK",020 8472 9993,https://shanproperties.co.uk/,4.7,332,,OPERATIONAL,,ChIJy418xren2EcRRyWx6ahlYDI,property consultants,2025-09-17T17:00:09.787583
Ideal Property Consultants,"83 Station Rd, London E4 7BU, UK",020 8523 9444,https://ipclondon.co.uk/,4.4,7,,OPERATIONAL,,ChIJ3fFUXoOg2EcRpiTiFF9rYAc,property consultants,2025-09-17T17:00:09.963542
Real Estate Agents London,"75A Barking Rd, London E16 4HB, UK",020 7055 0441,https://realestateagentslondon.co.uk/,4.8,396,,OPERATIONAL,,ChIJjfZBDP2n2EcRoMW6UbBfGj0,real estate agents,2025-09-17T17:00:10.647997
Kevin & Co. Sales & Letting Agents,"The Oxygen, 18 Western Gateway, London E16 1BL, UK",,https://kevinandco.uk/,4.9,231,,OPERATIONAL,,ChIJTUsu-Man2EcRNQ69BFQi0zs,real estate agents,2025-09-17T17:00:10.799313
ARQ Homes,"355-357, Barking Rd, London E6 1LA, UK",020 8472 0011,http://www.arqhomes.co.uk/,4.9,233,,OPERATIONAL,,ChIJD6c4L76n2EcRXQpC9qGT_Gg,real estate agents,2025-09-17T17:00:10.950819
Samuel King Estate Agents,"Londis Supermarket, 143 Barking Rd, London E16 4HQ, UK",020 7474 6000,http://www.samuelking.co.uk/,3.9,52,,OPERATIONAL,,ChIJPU43Lv2n2EcR4fmerqtp7A4,real estate agents,2025-09-17T17:00:11.184855
Hunters Estate & Letting Agents Plaistow,"272 Barking Rd, London E13 8HR, UK",020 7474 2345,https://www.hunters.com/office/plaistow?utm_source=google&utm_medium=local,4.6,190,,OPERATIONAL,,ChIJfyPNUuGn2EcRjyl-qGgxZYg,real estate agents,2025-09-17T17:00:11.335040
Elliott Davis Properties,"500 Green St, London E13 9DB, UK",020 8552 0711,https://ukmaplocation.org/business/elliott-davis-properties-adrgfx,2.5,26,,OPERATIONAL,,ChIJBQsijMin2EcR5rQ_dN_2B8A,real estate agents,2025-09-17T17:00:11.489677
Kingdom Property Agents Ltd,"91Katherine Road, London E6 1EW, UK",020 8821 0287,https://ukmapslocation.org/business/kingdom-property-agents-ltd-ol72tp,5.0,54,,OPERATIONAL,,ChIJicLUyMqn2EcRHRZfTn5uabI,real estate agents,2025-09-17T17:00:11.695238
Harvey W James,"F1, 415 High St, London E15 4QZ, UK",020 3865 1500,https://www.harveywjames.com/,5.0,211,,OPERATIONAL,,ChIJE3YRc4qn2EcROhAhS9q0jMA,real estate agents,2025-09-17T17:00:11.848410
Reeds Rains Estate Agents Plaistow,"286 Barking Rd, London E13 8HR, UK",020 7474 9157,https://www.reedsrains.co.uk/estate-agent/plaistow?utm_source=google_my_business&utm_medium=organic&utm_campaign=RPLAI1,4.5,190,,OPERATIONAL,,ChIJLbUSTeGn2EcRK6GxMPi8mrw,real estate agents,2025-09-17T17:00:11.995965
T J Miller,"148 Plashet Rd, London E13 0QS, UK",020 8514 7788,https://uklocation.org/business/t-j-miller-af90v0,4.8,64,,OPERATIONAL,,ChIJx_eB9Lin2EcRJKlUfqzEkB0,real estate agents,2025-09-17T17:00:12.221572
Knights & Co estate agent,"776-778 Barking Rd, London E13 9PJ, UK",020 8004 6224,https://www.knightsandcoestateagent.co.uk/,4.3,25,,OPERATIONAL,,ChIJF427Os-n2EcR0byOMH47hkU,real estate agents,2025-09-17T17:00:12.397516
Shan Properties (UK) Ltd,"61 Plashet Grove, London E6 1AD, UK",020 8472 9993,https://shanproperties.co.uk/,4.7,332,,OPERATIONAL,,ChIJy418xren2EcRRyWx6ahlYDI,real estate agents,2025-09-17T17:00:12.560232
Stonebridge Estate Agents,"248 High St N, London E12 6SB, UK",020 8590 1499,http://www.stonebridgelondon.co.uk/,4.9,115,,OPERATIONAL,,ChIJ9aG4mkum2EcRGnLiTKipJvI,real estate agents,2025-09-17T17:00:12.748530
JLL Stratford Real Estate,"5 Station St, London E15 1LA, UK",020 3147 1500,https://residential.jll.co.uk/offices/estate-agent-stratford,4.7,451,,OPERATIONAL,,ChIJSQkxlWEddkgRsJQ2R3lwA2g,real estate agents,2025-09-17T17:00:12.908793
Thinq Homes,"130 Plashet Rd, London E13 0QS, UK",020 8548 4007,http://www.thinqhomes.com/,4.9,48,,OPERATIONAL,,ChIJNa2v7Lin2EcRha2cKYlJjpE,real estate agents,2025-09-17T17:00:13.101135
Easymove Estate and Letting Agents | East London,"161 High St N, London E6 1JB, UK",020 8470 0007,http://www.easymoveea.com/,4.6,308,,OPERATIONAL,,ChIJwUPrSEqm2EcRbZv5UCaL6sA,real estate agents,2025-09-17T17:00:13.276626
Hawks | Estate Agents | East London,"71-73 W Ham Ln, London E15 4PH, UK",020 3002 6769,https://hawksestateagents.com/,4.5,106,,OPERATIONAL,,ChIJKYW0noun2EcR-tXBbLP5dmQ,real estate agents,2025-09-17T17:00:13.435652
Bismilla Property Ltd,"747 Barking Rd, London E13 9ER, UK",020 8586 6779,https://bismillaproperty.com/,4.5,18,,OPERATIONAL,,ChIJCatAOM-n2EcR_e2I2mTN_2Q,real estate agents,2025-09-17T17:00:13.600952
Alexander Rose Estates,"Stratford Workshops, 15 Burford Rd, London E15 2SP, UK",020 3051 9877,https://alexanderroseestates.co.uk/,5.0,115,,OPERATIONAL,,ChIJKVJDsVADdkgRGRdZEVsrktw,real estate agents,2025-09-17T17:00:13.790859
Oakville Real Estates,"217 High St N, London E6 1JG, UK",020 8472 9090,http://www.ore.uk.com/,4.0,37,,OPERATIONAL,,ChIJYxrJu0um2EcRKnb_XhtIWAA,real estate agents,2025-09-17T17:00:13.993134
"Partap Property Estate Agents, Sales, Lettings & Property Management","202b Green St, London E7 8LE, UK",020 8470 2928,http://partapproperties.com/,4.4,31,,OPERATIONAL,,ChIJmUWbnbmn2EcRvTykcXHp1FY,property sales,2025-09-17T17:00:14.639159
Thinq Homes,"130 Plashet Rd, London E13 0QS, UK",020 8548 4007,http://www.thinqhomes.com/,4.9,48,,OPERATIONAL,,ChIJNa2v7Lin2EcRha2cKYlJjpE,property sales,2025-09-17T17:00:14.839454
Short Lease Property Sales,"86-90 Paul St, London EC2A 4NE, UK",020 3026 6288,https://shortleasepropertysales.co.uk/,5.0,30,,OPERATIONAL,,ChIJeVeQJaoddkgRNOOIp6rHWsM,property sales,2025-09-17T17:00:15.036213
Properly - Estate Agent - Property Management - Property Sales - New Homes - Buying Service,"13 Palace St, London SW1E 5HX, UK",020 7459 4400,http://www.properly.space/,5.0,132,,OPERATIONAL,,ChIJxZTQHagFdkgRqsYpfJDkU0E,property sales,2025-09-17T17:00:15.219643
Waterfronts Estate Agents,"Waterfront Studios, Dock Rd, London E16 1AG, UK",020 7474 5757,http://www.waterfronts.co.uk/,4.5,71,,OPERATIONAL,,ChIJda4PRg6o2EcRyhje5Fcrfnw,property sales,2025-09-17T17:00:15.420162
